,國文,英文,數學,社會,自然
0,12,14,15,15,11
1,12,6,12,12,9
2,11,6,14,11,11
3,9,11,8,14,14
4,14,6,11,9,13
5,10,7,9,13,12
6,14,13,14,12,10
7,6,8,10,11,6
8,12,10,8,9,8
9,11,9,6,10,15
10,7,10,11,8,10
11,11,8,11,11,8
12,6,8,11,13,6
13,15,6,7,10,8
14,14,6,12,14,10
15,13,8,8,10,10
16,9,7,9,13,6
17,11,12,15,6,13
18,8,10,7,13,13
19,7,6,15,9,14
20,6,8,7,13,11
21,8,7,8,11,13
22,9,6,13,8,13
23,8,12,6,7,9
24,7,10,14,14,14
25,8,7,15,12,11
26,12,10,8,8,6
27,9,6,8,9,8
28,12,15,12,12,14
29,8,15,8,15,10
30,14,13,13,8,10
31,8,10,7,14,11
32,11,14,12,14,11
33,15,7,8,13,6
34,10,6,11,9,12
35,6,14,9,11,13
36,7,14,9,7,6
37,8,14,6,11,15
38,7,11,14,13,9
39,8,7,7,13,8
40,12,10,13,15,8
41,9,11,8,6,14
42,14,10,14,9,11
43,10,10,8,11,14
44,11,14,12,9,14
45,15,12,12,15,14
46,10,13,7,11,8
47,8,10,14,9,6
48,6,12,6,14,10
49,12,10,9,12,7
50,7,9,13,13,13
51,6,12,8,13,7
52,14,7,9,9,11
53,9,6,10,9,9
54,13,14,14,15,11
55,15,15,9,7,11
56,9,11,6,14,6
57,12,11,6,10,6
58,9,10,14,12,8
59,15,6,7,15,10
60,9,13,14,7,13
61,10,12,8,8,10
62,11,7,10,13,12
63,14,10,7,15,14
64,15,10,11,11,11
65,7,13,14,14,6
66,9,14,10,13,11
67,15,15,10,11,13
68,15,15,10,14,12
69,11,11,9,15,12
70,8,8,6,12,8
71,13,13,13,10,14
72,13,8,10,9,6
73,8,9,15,7,8
74,10,13,10,11,10
75,14,7,8,9,9
76,9,9,12,9,14
77,10,14,10,10,13
78,14,12,9,11,13
79,14,11,8,10,10
80,14,6,11,9,6
81,7,7,14,13,8
82,12,11,11,11,9
83,12,11,15,6,12
84,10,14,11,14,10
85,7,11,13,13,11
86,10,10,10,13,10
87,10,7,11,11,12
88,8,8,11,7,14
89,14,12,15,10,9
90,10,12,11,12,9
91,8,13,9,10,10
92,9,10,15,14,14
93,6,14,13,15,15
94,13,14,6,7,13
95,13,6,7,7,15
96,10,12,14,6,9
97,13,14,11,11,13
98,10,15,8,13,12
99,15,15,9,13,7
